[rosmaster.main][INFO] 2026-07-02 17:48:59,944: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-02 17:48:59,944: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-02 17:48:59,946: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2026-07-02 17:48:59,946: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2026-07-02 17:48:59,946: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-02 17:48:59,946: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2026-07-02 17:48:59,967: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:48:59,968: +PARAM [/roslaunch/uris/host_localhost__33707] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:00,013: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:00,013: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:00,084: +SERVICE [/rosout/get_loggers] /rosout http://localhost:42311/
[rosmaster.master][INFO] 2026-07-02 17:49:00,085: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:42311/
[rosmaster.master][INFO] 2026-07-02 17:49:00,086: +PUB [/rosout_agg] /rosout http://localhost:42311/
[rosmaster.master][INFO] 2026-07-02 17:49:00,090: +SUB [/rosout] /rosout http://localhost:42311/
[rosmaster.master][INFO] 2026-07-02 17:49:05,029: +PARAM [/roslaunch/uris/host_localhost__38487] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,035: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,035: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,035: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,035: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,035: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,035: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,035: +PARAM [/mavros/conn/heartbeat_mav_type] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,035: +PARAM [/mavros/conn/timeout] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,036: +PARAM [/mavros/conn/timesync_rate] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,036: +PARAM [/mavros/conn/system_time_rate] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,036: +PARAM [/mavros/sys/min_voltage] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,036: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,036: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,036: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,037: +PARAM [/mavros/time/timesync_avg_alpha] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,037: +PARAM [/mavros/tdr_radio/low_rssi] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,037: +PARAM [/mavros/cmd/use_comp_id_system_control] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,037: +PARAM [/mavros/global_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,037: +PARAM [/mavros/global_position/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,037: +PARAM [/mavros/global_position/rot_covariance] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,037: +PARAM [/mavros/global_position/gps_uere] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,037: +PARAM [/mavros/global_position/use_relative_alt] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,037: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,037: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,037: +PARAM [/mavros/global_position/tf/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-02 17:49:05,037: +PARAM [/mavros/global_position/tf/child_frame_id] by /roslaunch
