Timestamp,Vz(m/s),Voltage(V),Current(A),Power(W),TargetVz(m/s)
2026-06-18 16:38:28,1.026,12.587,27.33,344.003,0.0
2026-06-18 16:38:28,1.026,12.587,27.33,344.003,0.0
2026-06-18 16:38:28,0.848,12.587,26.17,329.402,0.0
2026-06-18 16:38:28,0.848,12.587,26.17,329.402,0.0
2026-06-18 16:38:28,0.848,12.587,26.17,329.402,0.0
2026-06-18 16:38:28,0.604,12.587,25.67,323.108,0.0
2026-06-18 16:38:29,0.604,12.587,25.67,323.108,0.0
2026-06-18 16:38:29,0.341,12.587,25.25,317.822,0.0
2026-06-18 16:38:29,0.341,12.587,25.25,317.822,0.0
2026-06-18 16:38:29,0.341,12.587,25.25,317.822,0.0
2026-06-18 16:38:29,0.083,12.587,25.25,317.822,0.0
2026-06-18 16:38:29,0.083,12.587,25.25,317.822,0.0
2026-06-18 16:38:29,-0.054,12.587,27.08,340.856,0.0
2026-06-18 16:38:29,-0.054,12.587,27.08,340.856,0.0
2026-06-18 16:38:29,-0.054,12.587,27.08,340.856,0.0
2026-06-18 16:38:29,-0.088,12.587,27.83,350.296,0.0
2026-06-18 16:38:30,-0.088,12.587,27.83,350.296,0.0
2026-06-18 16:38:30,-0.073,12.587,28.33,356.59,0.0
2026-06-18 16:38:30,-0.073,12.587,28.33,356.59,0.0
2026-06-18 16:38:30,-0.073,12.587,28.33,356.59,0.0
2026-06-18 16:38:30,-0.041,12.587,28.41,357.597,0.0
2026-06-18 16:38:30,-0.041,12.587,28.41,357.597,0.0
2026-06-18 16:38:30,-0.012,12.587,28.41,357.597,0.0
2026-06-18 16:38:30,-0.012,12.587,28.41,357.597,0.0
2026-06-18 16:38:30,-0.012,12.587,28.41,357.597,0.0
2026-06-18 16:38:30,0.008,12.587,28.33,356.59,0.0
2026-06-18 16:38:31,0.008,12.587,28.33,356.59,0.0
2026-06-18 16:38:31,0.018,12.587,28.16,354.45,0.0
2026-06-18 16:38:31,0.018,12.587,28.16,354.45,0.0
2026-06-18 16:38:31,0.018,12.587,28.16,354.45,0.0
2026-06-18 16:38:31,0.02,12.587,28.08,353.443,0.0
2026-06-18 16:38:31,0.02,12.587,28.08,353.443,0.0
2026-06-18 16:38:31,0.019,12.587,28.08,353.443,0.0
2026-06-18 16:38:31,0.019,12.587,28.08,353.443,0.0
2026-06-18 16:38:31,0.019,12.587,28.08,353.443,0.0
2026-06-18 16:38:31,0.016,12.587,28.08,353.443,0.0
2026-06-18 16:38:32,0.016,12.587,28.08,353.443,0.0
2026-06-18 16:38:32,0.013,12.587,28.08,353.443,0.0
2026-06-18 16:38:32,0.013,12.587,28.08,353.443,0.0
2026-06-18 16:38:32,0.013,12.587,28.08,353.443,0.0
2026-06-18 16:38:32,0.01,12.587,28.08,353.443,0.0
2026-06-18 16:38:32,0.01,12.587,28.08,353.443,0.0
2026-06-18 16:38:32,0.008,12.587,28.08,353.443,0.0
2026-06-18 16:38:32,0.008,12.587,28.08,353.443,0.0
2026-06-18 16:38:32,0.008,12.587,28.08,353.443,0.0
2026-06-18 16:38:32,0.007,12.587,28.08,353.443,0.0
2026-06-18 16:38:33,0.007,12.587,28.08,353.443,0.0
2026-06-18 16:38:33,0.006,12.587,28.08,353.443,0.0
2026-06-18 16:38:33,0.006,12.587,28.08,353.443,0.0
2026-06-18 16:38:33,0.006,12.587,28.08,353.443,0.0
2026-06-18 16:38:33,0.006,12.587,28.08,353.443,0.0
2026-06-18 16:38:33,0.006,12.587,28.08,353.443,0.0
2026-06-18 16:38:33,0.005,12.587,28.08,353.443,0.0
2026-06-18 16:38:33,0.005,12.587,28.08,353.443,0.0
2026-06-18 16:38:33,0.005,12.587,28.08,353.443,0.0
2026-06-18 16:38:33,0.005,12.587,28.08,353.443,0.0
2026-06-18 16:38:34,0.005,12.587,28.08,353.443,0.0
2026-06-18 16:38:34,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:34,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:34,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:34,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:34,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:34,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:34,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:34,0.005,12.587,28.08,353.443,0.0
2026-06-18 16:38:34,0.005,12.587,28.08,353.443,0.0
2026-06-18 16:38:35,0.005,12.587,28.08,353.443,0.0
2026-06-18 16:38:35,0.005,12.587,28.08,353.443,0.0
2026-06-18 16:38:35,0.005,12.587,28.08,353.443,0.0
2026-06-18 16:38:35,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:35,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:35,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:35,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:35,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:35,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:35,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:36,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:36,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:36,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:36,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:36,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:36,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:36,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:36,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:36,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:36,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:37,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:37,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:37,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:37,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:37,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:37,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:37,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:37,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:37,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:37,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:38,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:38,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:38,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:38,0.004,12.587,28.08,353.443,0.0
2026-06-18 16:38:38,0.004,12.587,28.08,353.443,0.5
2026-06-18 16:38:38,0.004,12.587,28.08,353.443,0.5
2026-06-18 16:38:38,0.015,12.587,28.74,361.75,0.5
2026-06-18 16:38:38,0.015,12.587,28.74,361.75,0.5
2026-06-18 16:38:38,0.189,12.587,30.65,385.792,0.5
2026-06-18 16:38:38,0.189,12.587,30.65,385.792,0.5
2026-06-18 16:38:39,0.189,12.587,30.65,385.792,0.5
2026-06-18 16:38:39,0.405,12.587,30.32,381.638,0.5
2026-06-18 16:38:39,0.405,12.587,30.32,381.638,0.5
2026-06-18 16:38:39,0.516,12.587,29.49,371.191,0.5
2026-06-18 16:38:39,0.516,12.587,29.49,371.191,0.5
2026-06-18 16:38:39,0.516,12.587,29.49,371.191,0.5
2026-06-18 16:38:39,0.553,12.587,28.66,360.743,0.5
2026-06-18 16:38:39,0.553,12.587,28.66,360.743,0.5
2026-06-18 16:38:39,0.549,12.587,28.41,357.597,0.5
2026-06-18 16:38:39,0.549,12.587,28.41,357.597,0.5
2026-06-18 16:38:40,0.549,12.587,28.41,357.597,0.5
2026-06-18 16:38:40,0.53,12.587,28.25,355.583,0.5
2026-06-18 16:38:40,0.53,12.587,28.25,355.583,0.5
2026-06-18 16:38:40,0.509,12.587,28.25,355.583,0.5
2026-06-18 16:38:40,0.509,12.587,28.25,355.583,0.5
2026-06-18 16:38:40,0.509,12.587,28.25,355.583,0.5
2026-06-18 16:38:40,0.493,12.587,28.33,356.59,0.5
2026-06-18 16:38:40,0.493,12.587,28.33,356.59,0.5
2026-06-18 16:38:40,0.484,12.587,28.33,356.59,0.5
2026-06-18 16:38:40,0.484,12.587,28.33,356.59,0.5
2026-06-18 16:38:41,0.484,12.587,28.33,356.59,0.5
2026-06-18 16:38:41,0.481,12.587,28.41,357.597,0.5
2026-06-18 16:38:41,0.481,12.587,28.41,357.597,0.5
2026-06-18 16:38:41,0.481,12.587,28.41,357.597,0.5
2026-06-18 16:38:41,0.481,12.587,28.41,357.597,0.5
2026-06-18 16:38:41,0.481,12.587,28.41,357.597,0.5
2026-06-18 16:38:41,0.482,12.587,28.49,358.604,0.5
2026-06-18 16:38:41,0.482,12.587,28.49,358.604,0.5
2026-06-18 16:38:41,0.485,12.587,28.49,358.604,0.5
2026-06-18 16:38:41,0.485,12.587,28.49,358.604,0.5
2026-06-18 16:38:42,0.485,12.587,28.49,358.604,0.5
2026-06-18 16:38:42,0.486,12.587,28.41,357.597,0.5
2026-06-18 16:38:42,0.486,12.587,28.41,357.597,0.5
2026-06-18 16:38:42,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:42,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:42,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:42,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:42,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:42,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:42,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:44,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:44,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:45,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:45,0.486,12.587,28.41,357.597,0.5
2026-06-18 16:38:45,0.486,12.587,28.41,357.597,0.5
2026-06-18 16:38:45,0.486,12.587,28.41,357.597,0.5
2026-06-18 16:38:45,0.485,12.587,28.41,357.597,0.5
2026-06-18 16:38:45,0.485,12.587,28.41,357.597,0.5
2026-06-18 16:38:45,0.485,12.587,28.41,357.597,0.5
2026-06-18 16:38:45,0.485,12.587,28.41,357.597,0.5
2026-06-18 16:38:45,0.485,12.587,28.41,357.597,0.5
2026-06-18 16:38:45,0.485,12.587,28.41,357.597,0.5
2026-06-18 16:38:46,0.485,12.587,28.41,357.597,0.5
2026-06-18 16:38:46,0.485,12.587,28.41,357.597,0.5
2026-06-18 16:38:46,0.485,12.587,28.41,357.597,0.5
2026-06-18 16:38:46,0.486,12.587,28.41,357.597,0.5
2026-06-18 16:38:46,0.486,12.587,28.41,357.597,0.5
2026-06-18 16:38:46,0.486,12.587,28.41,357.597,0.5
2026-06-18 16:38:46,0.486,12.587,28.41,357.597,0.5
2026-06-18 16:38:46,0.486,12.587,28.41,357.597,0.5
2026-06-18 16:38:46,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:46,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:47,0.487,12.587,28.41,357.597,0.5
2026-06-18 16:38:47,0.488,12.587,28.41,357.597,0.5
2026-06-18 16:38:47,0.488,12.587,28.41,357.597,0.5
2026-06-18 16:38:47,0.488,12.587,28.41,357.597,0.5
2026-06-18 16:38:47,0.488,12.587,28.41,357.597,0.5
2026-06-18 16:38:47,0.488,12.587,28.41,357.597,0.5
2026-06-18 16:38:47,0.488,12.587,28.41,357.597,0.5
2026-06-18 16:38:47,0.488,12.587,28.41,357.597,0.5
2026-06-18 16:38:47,0.488,12.587,28.41,357.597,0.5
2026-06-18 16:38:47,0.488,12.587,28.41,357.597,0.5
2026-06-18 16:38:48,0.488,12.587,28.41,357.597,0.5
2026-06-18 16:38:48,0.488,12.587,28.41,357.597,0.5
2026-06-18 16:38:48,0.488,12.587,28.41,357.597,0.5
2026-06-18 16:38:48,0.489,12.587,28.41,357.597,0.5
2026-06-18 16:38:48,0.489,12.587,28.41,357.597,1.0
2026-06-18 16:38:48,0.489,12.587,28.41,357.597,1.0
2026-06-18 16:38:48,0.504,12.587,28.66,360.743,1.0
2026-06-18 16:38:48,0.504,12.587,28.66,360.743,1.0
2026-06-18 16:38:48,0.683,12.587,31.24,393.218,1.0
2026-06-18 16:38:48,0.683,12.587,31.24,393.218,1.0
2026-06-18 16:38:49,0.683,12.587,31.24,393.218,1.0
2026-06-18 16:38:49,0.895,12.587,30.9,388.938,1.0
2026-06-18 16:38:49,0.895,12.587,30.9,388.938,1.0
